index,capacity,chp,chp_capacity,city,commissioned,company,zone,eta,fuel,lat,lon,name,postcode,status,street,technology
5790,389.86,,,San Roque,2002,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Natural gas,36.195639,-5.413628,SAN ROQUE GRUPO 1,,,,
5791,401.82,,,San Roque,2002,ENDESA GENERACION S.A.,ES,,Natural gas,36.195639,-5.413628,SAN ROQUE GRUPO 2,,,,
5792,782,,,Castellon de la Plana/Castello de la Plana,2002,"IBERDROLA GENERACION, S.A.",ES,,Natural gas,39.955685,0.002317,CASTELLON,,,,
5793,411.99,,,Sant Adria de Besos,2002,ENDESA GENERACION S.A.,ES,,Natural gas,41.418465,2.228594,"BESOS, GRUPO 3",,,,
5794,424.91,,,Castejon,2002,"HIDROELECTRICA DEL CANTABRICO, S.A.",ES,,Natural gas,42.177914,-1.693547,"CTCC CASTEJON, GRUPO 1",,,,
5795,399.75,,,Sant Adria de Besos,2002,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Natural gas,41.418465,2.228594,"BESOS, GRUPO 4",,,,
5796,34.95,,,Millares,2003,"IBERDROLA GENERACION, S.A.",ES,,Hydro,39.223433,-0.718373,C.H. MILLARES II GRUPO 1,,,,
5797,35.22,,,Millares,2003,"IBERDROLA GENERACION, S.A.",ES,,Hydro,39.223433,-0.718373,C.H. MILLARES II GRUPO 2,,,,
5798,785.25,,,Zierbena,2003,"BAHIA DE BIZKAIA ELECTRICIDAD, S.L.",ES,,Natural gas,43.359035,-3.09211,ZIERBENA,,,,
5799,93,,,Torrelavega,,"SNIACE, S.A.",ES,,Natural gas,43.360549,-4.059074,SNIACE,,,,
5800,84.88,,,Morell (El),1999,"REPSOL QUIMICA, S.A",ES,,Natural gas,41.190917,1.221364,EL MORELL-PERAFORT,,,,
5801,72.29,,,Marina de Cudeyo,2001,"REPSOL QUIMICA, S.A",ES,,Natural gas,43.413366,-3.777822,"MARINA DE CUDEYO (COGENERACION 75,5)",,,,
5802,80.5,,,Puertollano,1994,"REPSOL PETROLEO, S.A.",ES,,Natural gas,38.673985,-4.053176,REPSOL PUERTOLLANO,,,,
5803,85.18,,,Pobla de Mafumet (La),2000,"REPSOL PETROLEO, S.A.",ES,,Natural gas,41.175514,1.225203,REPSOL PETROLEO TARRAGONA,,,,
5804,94.16,,,Arteixo,2001,"REPSOL PETROLEO, S.A.",ES,,Natural gas,43.347769,-8.452851,COMPLEJO INDUSTRIAL DE LA CORUNA,,,,
5805,378.95,,,Castejon,2003,"FUERZAS ELECTRICAS DE NAVARRA, S.A.",ES,,Natural gas,42.177914,-1.693547,"CASTEJON, GRUPO A",,,,
5806,385.85,,,Tarragona,2003,"VIESGO GENERACION, S.L.",ES,,Natural gas,41.107411,1.191433,TARRAGONA  GRUPO 1,,,,
5807,1.22,,,Mondonedo,1906,"BARRAS ELECTRICAS  GENERACION, S.L.",ES,,Hydro,43.4296687,-7.3638814,TRONCEDA 1,,,,
5808,0.98,,,Mondonedo,1906,"BARRAS ELECTRICAS  GENERACION, S.L.",ES,,Hydro,43.4296687,-7.3638814,TRONCEDA 2,,,,
5809,0.128,,,Mondonedo,1921,"BARRAS ELECTRICAS  GENERACION, S.L.",ES,,Hydro,43.4296687,-7.3638814,FERVENCIA,,,,
5810,0.339,,,Outeiro de Rei,1900,"BARRAS ELECTRICAS  GENERACION, S.L.",ES,,Hydro,43.1024649,-7.6136338,PIAGO DE MARTUL,,,,
5811,0.24,,,Vicedo (O),1921,"BARRAS ELECTRICAS  GENERACION, S.L.",ES,,Hydro,38.2631808,-0.6942923,BATAN-RIOBARBA,,,,
5812,0.28,,,Viveiro,1909,"BARRAS ELECTRICAS  GENERACION, S.L.",ES,,Hydro,43.6621876,-7.5949829,CHAVIN,,,,
5813,0.94,,,Ourol,1947,"BARRAS ELECTRICAS  GENERACION, S.L.",ES,,Hydro,43.5640334,-7.6425182,GERDIZ,,,,
5814,0.3,,,Barreiros,1905,"BARRAS ELECTRICAS  GENERACION, S.L.",ES,,Hydro,43.51416795,-7.250554632,POZO CAPITAN,,,,
5815,455.29,,,Valle de Tobalina,1971,NUCLENOR S.A.,ES,,Nuclear,42.774247,-3.207318,"SANTA MARIA DE GARONA, GRUPO 1",,,,Steam turbine
5816,416.99,,,Tarragona,2004,"TARRAGONA POWER, S.L.",ES,,Natural gas,41.110242,1.180547,TARRAGONA,,,,
5817,93.592,,,Bilbao,2004,"ZABALGARBI, S.A.",ES,,Non-renewable waste,43.250577,-2.967965,"COGENERACION, PLANTA A",,,,
5818,392.68,,,San Roque,2004,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Natural gas,36.183459,-5.392914,CAMPO DE GIBRALTAR GRUPO 10,,,,
5819,387.98,,,San Roque,2004,"PUENTE MAYORGA GENERACION, S.L.U.",ES,,Natural gas,36.183459,-5.392914,CAMPO DE GIBRALTAR GRUPO 20,,,,
5820,396.4,,,Santurtzi,2005,"HIDROELECTRICA IBERICA, S.L.",ES,,Natural gas,43.339096,-3.052938,"SANTURCE, GRUPO 4",,,,
5821,373.24,,,Arcos de la Frontera,2005,"IBERDROLA GENERACION, S.A.",ES,,Natural gas,36.673002,-5.816132,ARCOS DE LA FRONTERA GRUPO 2,,,,
5822,386.79,,,Palos de la Frontera,2004,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Natural gas,37.183318,-6.886318,PALOS DE LA FRONTERA GRUPO 1,,,,
5823,83.98,,,Cartagena,2004,"ENERGYWORKS CARTAGENA, S.L.",ES,,Natural gas,37.70357,-1.099653,GE PLASTICS ESPANA,,,,
5824,390.06,,,Arrubal,2005,"CONTOUR GLOBAL LA RIOJA, S.L.",ES,,Natural gas,42.418942,-2.250145,ARRUBAL GRUPO 2,,,,
5825,394.64,,,Arrubal,2005,"CONTOUR GLOBAL LA RIOJA, S.L.",ES,,Natural gas,42.418942,-2.250145,ARRUBAL GRUPO 1,,,,
5826,90,,,Bilbao,,"ZABALGARBI, S.A.",ES,,Non-renewable waste,43.250577,-2.967965,"COGENERACION, PLANTA B",,,,
5827,389.29,,,Arcos de la Frontera,2005,"IBERDROLA GENERACION, S.A.",ES,,Natural gas,36.673002,-5.816132,ARCOS DE LA FRONTERA GRUPO 1,,,,
5828,389.19,,,Palos de la Frontera,2005,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Natural gas,37.183318,-6.886318,PALOS DE LA FRONTERA GRUPO 2,,,,
5829,786.42,,,Amorebieta-Etxano,2005,"BIZKAIA ENERGIA, S.L.U.",ES,,Natural gas,43.234597,-2.749908,AMOREBIETA,,,,
5830,391.02,,,Palos de la Frontera,2005,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Natural gas,37.183318,-6.886318,PALOS DE LA FRONTERA GRUPO 3,,,,
5831,386.08,,,Villaseca de la Sagra,2005,"IBERDROLA GENERACION, S.A.",ES,,Natural gas,39.943972,-3.854838,"ACECA, GRUPO 3",,,,
5832,417.83,,,Cartagena,2006,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Natural gas,37.572744,-0.938408,CARTAGENA GRUPO 2,,,,
5833,418.22,,,Cartagena,2006,"GAS NATURAL FENOSA GENERACION, S.L.U.",ES,,Natural gas,37.572744,-0.938408,CARTAGENA GRUPO 1,,,,
5834,822.86,,,Arcos de la Frontera,2006,"IBERDROLA GENERACION, S.A.",ES,,Natural gas,36.673002,-5.816132,ARCOS DE LA FRONTERA GRUPO 3,,,,
